OBJECTID_1,CSA2010,biz1_10,biz1_11,biz1_12,biz1_13,biz1_14,biz1_15,biz1_16,biz1_17,biz1_18,biz1_19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,8.921933086,10.97046414,9.486166008,3.914590747,9.15751,5.217391304,3.686635945,3.846153846,2.9126214,4.761905,63770461.7789307,38770.1655712543
2,Beechfield/Ten Hills/West Hills,3.896103896,8.088235294,4.255319149,5.747126437,6,4.316546763,2.4,3.937007874,3.1007752,5.128205,47882527.7103882,37524.9505334027
3,Belair-Edison,8.888888889,12.05357143,7.569721116,4.651162791,4.64135,6.25,2.732240437,5.960264901,6.547619,8.522727,44950030.4731445,31307.3148434335
4,Brooklyn/Curtis Bay/Hawkins Point,2.73556231,7.487922705,6.940063091,5.303030303,5.50661,5.90809628,4.5,2.623906706,4.4692737,4.057971,176077742.748108,150987.703638971
5,Canton,7.643312102,10.86956522,11.53846154,5.25,3.35196,8.554572271,5.23255814,4.430379747,3.9513678,4.137931,15408538.2250977,23338.6119476204
6,Cedonia/Frankford,9.389671362,10.55408971,9.828009828,6.873614191,8.98618,6.504065041,2.686567164,5.333333333,4.491018,6.271777,71541340.3058472,39962.5498346815
7,Cherry Hill,3.409090909,9.420289855,5,3.105590062,8.33333,9.271523179,5.223880597,8.823529412,5.9701493,8.730159,29144181.350769,22305.3020666618
8,Chinquapin Park/Belvedere,5.714285714,7.03125,9.655172414,6.395348837,3.3557,6.976744186,5.839416058,5.511811024,5.511811,8.61244,21022590.1312866,21705.4116303126
9,Claremont/Armistead,7.344632768,7.027027027,7.894736842,4.672897196,4.32692,4.347826087,2.409638554,3.797468354,6.6326531,3.317536,61243774.4209595,40104.4159801615
10,Clifton-Berea,4.945054945,7.692307692,5.487804878,9.259259259,7.60234,4.975124378,5.46875,2.830188679,2.9850746,2.580645,23285233.9252319,24022.7646207837
11,Cross-Country/Cheswolde,3.349282297,9.32642487,5.797101449,2.602230483,6.12245,7.692307692,5.641025641,6.818181818,3.6809816,4.812834,38222018.31604,26788.3018783796
12,Dickeyville/Franklintown,3.125,5.128205128,9.375,3.636363636,2.5,7.142857143,9.090909091,5.555555556,3.3333333,3.030303,35719112.4155273,31637.8174237962
13,Dorchester/Ashburton,12.13872832,10.73446328,11.95652174,8.056872038,9.90099,4.444444444,3.921568627,5.072463768,3.6809816,9.333333,34118277.1814575,27136.0757115414
14,Downtown/Seton Hill,7.336683417,8.534798535,6.56859391,4.801670146,5.60109,8.851522843,7.209805335,7.178312333,7.4242424,8.391098,20736554.4073486,21565.8593945522
15,Edmondson Village,7.272727273,10.34482759,7.692307692,4.615384615,3.7037,8.333333333,11.11111111,4.255319149,7.1428571,8.62069,23563061.041626,21504.5513578179
16,Fells Point,8.350305499,7.575757576,7.392996109,5.871212121,6.95187,6.476190476,4.418604651,4.060913706,5.3613054,4.398148,12620515.7174683,27670.1699157546
17,Forest Park/Walbrook,13.69863014,11.97183099,7.746478873,9.202453988,7.74194,7.947019868,7.751937984,5.128205128,7.6923077,3.90625,37200535.0294189,36886.8997811198
18,Glen-Fallstaff,8.016877637,6.25,7.528409091,4.605263158,6.39777,4.013377926,4.67571644,5.298013245,7.165109,4.562738,46995477.4783325,48549.0046179151
19,Greater Charles Village/Barclay,10.18099548,9.976247031,9.821428571,5.527638191,5.97345,8.628841608,5.54245283,6.017925736,5.8542413,10.539216,27051213.4530029,26454.2692113213
20,Greater Govans,7.382550336,9.150326797,5.128205128,6.989247312,8.04598,9.85915493,6.870229008,2.564102564,7.7586207,8.724832,22698495.7179565,22982.1257149537
21,Greater Mondawmin,8.444444444,11.06870229,11.38790036,5.033557047,7.69231,5.857740586,2.755905512,4.566210046,3.1620553,4.597701,33663448.27948,31136.7318903565
22,Greater Roland Park/Poplar Hill,5.714285714,5.337078652,8.860759494,2.117647059,5.86667,8.706467662,5.898876404,4.823151125,5.6426332,7.53012,56688145.1791382,39862.7497953279
23,Greater Rosemont,9.324758842,9.507042254,10.12658228,8.20668693,13.4375,5.985915493,3.68852459,2.512562814,2.745098,6.578947,42204384.5426025,32559.0762211874
24,Greenmount East,10.11235955,9.090909091,12.08791209,3.428571429,4.02685,7.518796992,4.87804878,1.98019802,6.9565217,1.886792,19072287.8239746,20797.4734578542
25,Hamilton,6.08365019,5.394190871,8.301886792,5.743243243,4.23077,7,3.418803419,5.11627907,2.3622047,5.042017,45191100.55896,27712.1110915093
26,Harbor East/Little Italy,10.29411765,8.740359897,8.591885442,6.822612086,5.8952,7.488986784,4.946236559,5.714285714,5.7603687,5.985037,10215859.0842896,18552.4075815848
27,Harford/Echodale,4.676258993,9.493670886,9.122807018,5.30726257,5.16717,9.236947791,1.102941176,6.225680934,8.3941606,6.153846,65360039.170105,40019.1854002026
28,Highlandtown,9.844559585,8.130081301,9.290953545,4.326923077,5.05319,6.052631579,6.666666667,4.193548387,4.9132948,3.560831,11684191.1187744,14976.1238513693
29,Howard Park/West Arlington,2.873563218,7.246376812,5.172413793,5.241935484,8.82353,6.302521008,5.472636816,5.882352941,6.3106796,5.464481,63262430.0736084,36034.498446969
30,Inner Harbor/Federal Hill,7.901234568,9.517601043,9.12364946,3.744493392,7.28793,8.050314465,5.044136192,4.993065187,5.8898848,7.010014,24995836.2617798,43415.059547857
31,Lauraville,12.39316239,10.45454545,8.368200837,5.904059041,8.03213,3.571428571,1.492537313,7.692307692,3.5353535,9.142857,49665744.2373657,34419.6765279679
32,Loch Raven,5.092592593,6.896551724,3.755868545,4.06504065,7.04225,9.389671362,9.604519774,7.82122905,6.7357513,12.435233,44147812.3251953,29314.3346717928
33,Madison/East End,8.962264151,8.641975309,11.9266055,7.826086957,9.21053,5.140186916,3.658536585,9.154929577,4.0540541,2.040816,8897845.19128418,13120.1587193646
34,Medfield/Hampden/Woodberry/Remington,7.317073171,5.990220049,4.711425206,3.552206674,5.15118,6.113033449,7.629107981,6.459330144,7.1182549,6.498195,62441489.241394,43152.6256992134
35,Midtown,10.09090909,6.64652568,9.267840593,5.624483044,5.70377,7.192982456,6.44549763,4.90797546,4.9535604,5.845511,23823949.9293823,25020.096969802
36,Midway/Coldstream,10.0877193,6.763285024,8.256880734,4.330708661,7.82609,6.161137441,4.324324324,3.205128205,6.4705882,1.898734,17884471.2868652,22767.8274162155
37,Morrell Park/Violetville,5.831533477,5.701754386,4.816513761,5.607476636,6.0241,6.971153846,4.415584416,7.124010554,7.0528967,6.544503,67470845.9891968,44412.7451303627
38,Mount Washington/Coldspring,6.392694064,5.154639175,6,0.840336134,4.84582,6.912442396,8.71559633,9.615384615,7.3394495,11.363636,56943058.6513672,38539.7661484819
39,North Baltimore/Guilford/Homeland,6.326034063,7.360406091,6.265060241,3.571428571,7.62527,7.236842105,5.39083558,6.358381503,7.3972603,7.024793,74923987.6942139,42904.222144331
40,Northwood,13.37579618,8.965517241,5.882352941,6.043956044,5.08475,7.90960452,5.517241379,7.874015748,6.6115702,5.426357,52743271.7678833,38889.8945909104
41,Oldtown/Middle East,7.789473684,6.25,6.639004149,1.782531194,5.05263,24.91803279,21.68978562,13.31802526,15.651359,24.050633,24585968.2340698,23866.3281789082
42,Orangeville/East Highlandtown,6.50994575,4.79704797,6.761565836,3.535353535,6.17284,10.6518283,6.529209622,8.318584071,8.044164,8.805031,89894372.2109985,47825.8629265983
43,Patterson Park North & East,8.292682927,10.30927835,11.11111111,5.963302752,7.28155,7.303370787,4.733727811,2.985074627,3.5714286,6.451613,14507643.2044678,21786.3746600921
44,Penn North/Reservoir Hill,6.504065041,11.25,7.228915663,8.465608466,10.1818,7.4204947,2.985074627,4.545454545,3.2786885,3.738318,41059796.6772461,29078.8384985617
45,Pimlico/Arlington/Hilltop,7.222222222,6.927710843,9.433962264,6.84596577,6.6092,9.71563981,12.37458194,10.06711409,9.118541,8.443272,30400962.0045166,24725.934069361
46,Poppleton/The Terraces/Hollins Market,12.75167785,6.71641791,10.13513514,11.53846154,7.33333,9.547738693,5.882352941,7.216494845,3.6697248,4.137931,9302012.99847412,12334.0275347493
47,Sandtown-Winchester/Harlem Park,11.78861789,9.049773756,10.44176707,7.473309609,6.22568,8.333333333,3.389830508,1.948051948,2.5,3.571429,23672092.868103,20987.1433066551
48,South Baltimore,8.196721311,6.355932203,6.976744186,6.779661017,4.98221,7.272727273,5.243445693,3.358208955,5.4151625,5.405405,46353935.4260864,68440.0258266859
49,Southeastern,6.958762887,8.716707022,6.074766355,3.649635036,7.78302,5.250596659,5.555555556,5.15970516,11.670481,4.326923,111251478.472961,102291.480547658
50,Southern Park Heights,9.359605911,8.510638298,10.29411765,8.11965812,7.45614,7.407407407,0.613496933,2.898550725,5.9171598,5.298013,27876227.5906372,24052.2213721934
51,Southwest Baltimore,9.292035398,10.85972851,8.9958159,7.707129094,6.77966,7.947019868,2.222222222,7.430340557,5.7534247,5.029586,37766068.8375854,28355.5635813967
52,The Waverlies,4.705882353,9.146341463,9.782608696,6.467661692,4.92611,5.928853755,2.395209581,7.975460123,4.0462428,1.970443,20383750.5442505,18733.826879743
53,Upton/Druid Heights,9.872611465,8.724832215,5.592105263,6.333333333,7.44337,7.817589577,3.070175439,3.827751196,4.8582996,3.007519,16976622.3384399,19389.307821217
54,Washington Village/Pigtown,8,5.263157895,9.536784741,4.859335038,6.87831,4.790419162,4.347826087,3.389830508,4.3209877,5.405405,39343262.0385742,36962.2600947464
55,Westport/Mount Winans/Lakeland,11.33603239,7.818930041,6.147540984,6,14.2322,2.661596958,3.448275862,3.550295858,1.1173184,3.977273,45494092.9499512,42573.1244161849
